epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,651.397,0.89648,0.73271,1.38049,0.8308,0.41571,0.53013,0.28806,1.71615,2.00843,1.42993,2.84938e-05,2.84938e-05,2.84938e-05
64,659.445,0.71887,1.04231,1.12813,0.8308,0.41571,0.53013,0.28806,1.71615,2.00843,1.42993,2.82112e-05,2.82112e-05,2.82112e-05
65,667.574,0.58606,0.68582,1.07763,0.8308,0.41571,0.53013,0.28806,1.71615,2.00843,1.42993,2.7905e-05,2.7905e-05,2.7905e-05
66,675.884,0.96083,1.21742,1.23849,0.83604,0.41543,0.53014,0.28803,1.73409,2.02197,1.43989,2.75753e-05,2.75753e-05,2.75753e-05
67,684.41,0.87675,1.24262,1.25805,0.83604,0.41543,0.53014,0.28803,1.73409,2.02197,1.43989,2.7222e-05,2.7222e-05,2.7222e-05
68,693.899,0.94288,1.3417,1.41185,0.83604,0.41543,0.53014,0.28803,1.73409,2.02197,1.43989,2.68451e-05,2.68451e-05,2.68451e-05
69,703.79,0.64424,0.65796,1.02891,0.8357,0.49836,0.53147,0.28782,1.74922,2.04822,1.44336,2.64447e-05,2.64447e-05,2.64447e-05
70,713.172,1.15011,1.14523,1.48671,0.8357,0.49836,0.53147,0.28782,1.74922,2.04822,1.44336,2.60207e-05,2.60207e-05,2.60207e-05
71,721.478,0.7624,0.63691,1.17131,0.8357,0.49836,0.53147,0.28782,1.74922,2.04822,1.44336,2.55731e-05,2.55731e-05,2.55731e-05
72,729.898,0.68572,1.03308,1.10525,0.85757,0.40982,0.4649,0.29831,1.71521,2.09357,1.44214,2.5102e-05,2.5102e-05,2.5102e-05
73,738.964,0.59823,0.63489,0.95775,0.85757,0.40982,0.4649,0.29831,1.71521,2.09357,1.44214,2.46073e-05,2.46073e-05,2.46073e-05
74,748.696,0.75451,0.87376,1.23056,0.85757,0.40982,0.4649,0.29831,1.71521,2.09357,1.44214,2.40891e-05,2.40891e-05,2.40891e-05
75,757.547,0.87444,0.85867,1.38737,0.85408,0.40881,0.46383,0.29754,1.7416,2.1271,1.44935,2.35472e-05,2.35472e-05,2.35472e-05
76,766.549,0.61815,0.73708,1.08241,0.85408,0.40881,0.46383,0.29754,1.7416,2.1271,1.44935,2.29819e-05,2.29819e-05,2.29819e-05
77,775.672,0.79534,1.01647,1.21173,0.85408,0.40881,0.46383,0.29754,1.7416,2.1271,1.44935,2.23929e-05,2.23929e-05,2.23929e-05
78,785.278,0.74864,0.84067,1.15104,0.85427,0.40887,0.42628,0.28043,1.76879,2.2012,1.48168,2.17805e-05,2.17805e-05,2.17805e-05
79,793.511,0.78359,0.76929,1.1564,0.85427,0.40887,0.42628,0.28043,1.76879,2.2012,1.48168,2.11444e-05,2.11444e-05,2.11444e-05
80,802.173,0.8778,0.74542,1.32736,0.85427,0.40887,0.42628,0.28043,1.76879,2.2012,1.48168,2.04848e-05,2.04848e-05,2.04848e-05
81,811.46,0.66385,0.58004,1.16099,0.85572,0.40883,0.42451,0.27581,1.77814,2.26416,1.51604,1.98016e-05,1.98016e-05,1.98016e-05
82,820.895,0.66303,0.65858,1.16916,0.85572,0.40883,0.42451,0.27581,1.77814,2.26416,1.51604,1.90949e-05,1.90949e-05,1.90949e-05
83,830.564,0.60776,0.96264,1.06092,0.85572,0.40883,0.42451,0.27581,1.77814,2.26416,1.51604,1.83646e-05,1.83646e-05,1.83646e-05
84,839.395,0.62344,0.70645,0.98278,0.85877,0.40923,0.42419,0.27867,1.79885,2.2489,1.52121,1.76107e-05,1.76107e-05,1.76107e-05
85,849.396,0.58721,0.59881,1.07539,0.85877,0.40923,0.42419,0.27867,1.79885,2.2489,1.52121,1.68333e-05,1.68333e-05,1.68333e-05
86,858.807,0.82301,0.99769,1.34496,0.85877,0.40923,0.42419,0.27867,1.79885,2.2489,1.52121,1.60323e-05,1.60323e-05,1.60323e-05
87,869.839,0.53019,0.7108,1.07954,0.85877,0.40923,0.42419,0.27867,1.79885,2.2489,1.52121,1.52077e-05,1.52077e-05,1.52077e-05
88,879.81,0.6801,0.94951,1.13815,0.86338,0.41034,0.4238,0.2776,1.85078,2.2538,1.541,1.43596e-05,1.43596e-05,1.43596e-05
89,888.838,0.52364,0.63966,1.05265,0.86338,0.41034,0.4238,0.2776,1.85078,2.2538,1.541,1.34879e-05,1.34879e-05,1.34879e-05
90,897.341,0.59777,0.54679,1.01014,0.86338,0.41034,0.4238,0.2776,1.85078,2.2538,1.541,1.25927e-05,1.25927e-05,1.25927e-05
91,909.327,0.54695,0.52153,1.01997,0.86338,0.41034,0.4238,0.2776,1.85078,2.2538,1.541,1.16739e-05,1.16739e-05,1.16739e-05
92,917.692,0.54977,0.51899,0.86924,0.86313,0.40954,0.42352,0.27626,1.88784,2.21954,1.54766,1.07315e-05,1.07315e-05,1.07315e-05
93,926.458,0.60001,0.61057,1.07719,0.86313,0.40954,0.42352,0.27626,1.88784,2.21954,1.54766,9.76562e-06,9.76562e-06,9.76562e-06
94,934.948,0.43529,0.46837,0.89283,0.86313,0.40954,0.42352,0.27626,1.88784,2.21954,1.54766,8.77613e-06,8.77613e-06,8.77613e-06
95,942.937,0.46338,0.43838,0.90601,0.86313,0.40954,0.42352,0.27626,1.88784,2.21954,1.54766,7.76308e-06,7.76308e-06,7.76308e-06
96,952.299,0.5873,0.46284,0.9851,0.83262,0.49904,0.51459,0.29498,1.8785,2.05743,1.52059,6.72648e-06,6.72648e-06,6.72648e-06
97,960.587,0.57446,0.57094,0.90911,0.83262,0.49904,0.51459,0.29498,1.8785,2.05743,1.52059,5.6663e-06,5.6663e-06,5.6663e-06
98,968.764,0.60112,0.56619,0.98669,0.83262,0.49904,0.51459,0.29498,1.8785,2.05743,1.52059,4.58257e-06,4.58257e-06,4.58257e-06
99,977.182,0.60934,0.53248,1.04617,0.83262,0.49904,0.51459,0.29498,1.8785,2.05743,1.52059,3.47528e-06,3.47528e-06,3.47528e-06
100,985.888,0.41591,0.4579,0.95183,0.64266,0.51428,0.5432,0.2905,1.8116,2.09543,1.52135,2.34442e-06,2.34442e-06,2.34442e-06
